flywire_name,driver_line,brain_region,,Others,LCs,ORs,LH,MBIN,KCs,MBONs,DANs,DNs,Not included
JO-A,JON-A,other,,JON-A,LC4,ORN_DA1,LHAD1a1/f1,APL,KCab-c,MBON01,PAM01,DNa10,NM-ddc
JO-B,JON-B,other,,JON-B,LC6,ORN_DL3,LHAD1a2,CSD,KCab-p,MBON02,PAM02,DNc01,NM-ple
pC1a,pC1,other,,pC1,LC9,ORN_V,LHAD1d1,DPM,KCab-s,MBON03,PAM03,DNc02,NM-tdc2
pC1c,pC1,other,,,LC10,ORN_VA1d,LHAD1e1,MB-C1,KCab-m,MBON04,PAM04,DNg25,NM-trh
pC1e,pC1,other,,,LC11,ORN_VA1v,LHAD3b1,SIFamide,KCab-ap1,MBON05,PAM05,DNg30,NP-AstA-3M
LC4,LC4,VPN,,,LC12,,LHAV1a1,OA-VPM3,KCg-d,MBON06,PAM06,DNp07,NP-AstA-5
LC6,LC6,VPN,,,LC13,,LHAV2a1/a4,OA-VPM4,KCg-m,MBON07,PAM07,DNp10,NP-AstC-1M
LC9,LC9,VPN,,,LC15,,LHAV2b1/b2,OA-VPM5,,MBON08,PAM08,DNp13,NP-Burs-4M
LC10a,LC10-1,VPN,,,LC16,,LHAV4a1,OA-VUM2a,,MBON09,PAM09,DNp24,NP-Capa-4F
LC10d,LC10-1,VPN,,,LC20,,LHAV4a3/a4,,,MBON10,PAM10,DNp25,NP-Capa-5F
LC10b,LC10-2,VPN,,,LC21,,LHAV4b3,,,MBON11,PAM11,DNp27,NP-Crz-3M
LC10c,LC10-2,VPN,,,LC22,,LHAV4b4,,,MBON12,PAM12,DNp29,NP-Crz-4M
LC11,LC11,VPN,,,LC24,,LHAV4b8,,,MBON13,PAM13,DNp30,NP-Dh31-2M
LC12,LC12,VPN,,,LC25,,LHAV4c1/c2,,,MBON14,PAM14,DNp32,NP-Dh31-5F
LC13,LC13,VPN,,,LC26,,LHAV5a1,,,MBON15,PPL101,,NP-Dh44-2M
LC15,LC15,VPN,,,LPLC2,,LHAV6a1,,,MBON16,PPL102,,NP-Dsk-3M
LC16,LC16,VPN,,,LO-PN1,,LHAV6b3,,,MBON17,PPL103,,NP-FMRFa-1M
LC20a,LC20,VPN,,,LO-PN2,,LHAV6c1,,,MBON18,PPL104,,NP-Lk-1
LC20b,LC20,VPN,,,PLP-PN2,,LHAV7a1,,,MBON19,PPL105,,NP-Lk-2M
LC21,LC21,VPN,,,,,LHAVLP-PN1,,,MBON22,PPL106,,NP-Mip-2M
LC22,LC22,VPN,,,,,LHMB-C1,,,,,,NP-Ms-1M
LC24,LC24,VPN,,,,,LHPD2a1/b1,,,,,,NP-Ms-6Ma
LC25,LC25,VPN,,,,,LHPD3a1,,,,,,NP-NPF-2
LC26,LC26,VPN,,,,,LHPD3a2,,,,,,NP-sNPF-2
LPLC2,LPLC2,VPN,,,,,LHPV12a1,,,,,,NP-Tk-2Ma
SLP448,LO-PN2,VPN,,,,,LHPV2a1/b1,,,,,,NP-Tk-3Ma
SLP362,PLP-PN2,VPN,,,,,LHPV2c1,,,,,,NP-Tk-5Fa
ORN_DA1,OR67d,ALIN,,,,,LHPV2d1,,,,,,ORCO-GR63a
ORN_DL3,OR65a,ALIN,,,,,LHPV3f1,,,,,,ORCO
ORN_V,GR63a,ALIN,,,,,LHPV4a1:5,,,,,,IR25a
ORN_VA1d,OR88a,ALIN,,,,,LHPV4a12/c2,,,,,,IR8a
ORN_VA1v,OR47b,ALIN,,,,,LHPV4a9,,,,,,fChON
LHAD1a1,LHON-AD1a1/f1,LH,,,,,LHPV4b1/b2,,,,,,GH146
LHAD1f1,LHON-AD1a1/f1,LH,,,,,LHPV4c1,,,,,,MZ19
LHAD1a2,LHAD1a2,LH,,,,,LHPV4c3,,,,,,MB-247
LHAD1d1,LHAD1d1,LH,,,,,LHPV4d1,,,,,,MB-OK107
aSP-g2,LHON-AD1e1 (aSP27),LH,,,,,LHPV4d3/d4,,,,,,LO-PN1
LHAV1a1,LHAV1a1,LH,,,,,LHPV5a1,,,,,,LO-PN2
CB1719,LHAV2b1(/b2),LH,,,,,LHPV5a3,,,,,,PLP-PN2
CB2793,LHAV2b2 (/b1),LH,,,,,LHPV5b1,,,,,,LHIN-VNC-PN1 (1663021115)
LHAV4a4,LHAV4a4 (/a3),LH,,,,,LHPV5b2,,,,,,LHAV4b8
CB2212,LHAV4b3,LH,,,,,LHPV5b3,,,,,,LHPV3f1
CB3729,LHAV4b3,LH,,,,,LHPV5c2,,,,,,LHPV5k1
CB3731,LHAV4c1 (/c2),LH,,,,,LHPV5g1/g2,,,,,,MB-C1 (repeated)
LHAV4c2,LHAV4c2 (/c1),LH,,,,,LHPV5k1,,,,,,SIFamide
CB1166,LHAV5a1,LH,,,,,LHPV5k1,,,,,,OA-VPM5
CB0936,LHAV6a1,LH,,,,,LHPV6a1,,,,,,MBON08
LHAV6c1a,LHAV6c1,LH,,,,,LHPV6a3,,,,,,DNg25
LHAV6c1b,LHAV6c1,LH,,,,,LHPV6c1,,,,,,
MB-C1,LHMB-C1,LH,,,,,WEDPN1A,,,,,,
CB2842,LHPD2a1 (/b1),LH,,,,,LHIN-AVLP-PN1,,,,,,
CB3198,LHPD2a1 (/a1),LH,,,,,LHIN-GNG-PN1,,,,,,
CB1813,LHPD3a2,LH,,,,,LHIN-LO-PN1,,,,,,
CB3478,LHPV2a1 (/b1),LH,,,,,LHIN-LO-PN2,,,,,,
LHPV6o1,LHPV2c1,LH,,,,,LHIN-PLP-PN1,,,,,,
LHPV2d1,LHPV2d1,LH,,,,,LHIN-VNC-PN1,,,,,,
CB1571,LHPV4a1:5 (1),LH,,,,,LHIN-WED-PN2,,,,,,
CB1535,LHPV4a1:5 (2-3),LH,,,,,LHIN-WED-PN3,,,,,,
CB1503,LHPV4a1:5 (4),LH,,,,,LHIN-WED-PN5,,,,,,
CB2064,LHPV4a1:5 (4),LH,,,,,LHIN-WED-PN6,,,,,,
CB2807,LHPV4a1:5 (5),LH,,,,,,,,,,,
LHPV4a9,LHLN-PV4a9,LH,,,,,,,,,,,
CB1777,LHPV4b1 (/b2),LH,,,,,,,,,,,
CB1209,LHPV4b2 (/b1),LH,,,,,,,,,,,
CB1218,LHPV4c1,LH,,,,,,,,,,,
CB1511,LHPV4c1,LH,,,,,,,,,,,
