driver_line,brain_region
fChON,other
GH146,ALPN
GR63a,ALIN
GR63a-mutant,ALIN
IR25a,ALIN
IR25a-mutant,ALIN
IR8a,ALIN
IR8a-mutant,ALIN
JON-AB,other
LC10-1,VPN
LC10-2,VPN
LC11,VPN
LC12,VPN
LC13,VPN
LC15,VPN
LC16-1,VPN
LC16-2,VPN
LC20,VPN
LC21,VPN
LC22,VPN
LC24,VPN
LC25,VPN
LC26,VPN
LC4,VPN
LC6,VPN
LC9,VPN
LH1000 (LHON-AV6b1),LH
LH1112 (LHIN-WED-PN1),LH
LH1139 (LHON-AV6a1),LH
LH1197 (LHLN-PV4a9),LH
LH123 (LHON-PV5a3),LH
LH1284 (LHON-AD3b1),LH
LH1337 (LHIN-WED-PN5),LH
LH141 (LHLN-PD3a1),LH
LH1479 (LHON-AV4b3),LH
LH1531 (LHIN-WED-PN2),LH
LH1543 (LHON-PV5k1),LH
LH1554 (LHON-PV5b1),LH
LH1594 (LHON-AV5a1),LH
LH1614 (LHON-AD1e1),LH
LH1668 (LHIN-WED-PN3),LH
LH168 (LHON-PV5b2),LH
LH1721 (LHON-AD1a2),LH
LH1744 (LHON-AD1a1/f1),LH
LH18 (LHIN-LO-PN2),LH
LH180 (LHON-AV6b3),LH
LH1827 (LHON-PV4b1/b2),LH
LH1893 (LHLN-PV4a12/c2),LH
LH1900 (LHON-MB-C1),LH
LH191 (LHON-AV4b8),LH
LH1925 (LHON-PV2d1),LH
LH1959 (LHON-PV4c3),LH
LH1990 (LHON-AV1a1),LH
LH2001 (LHON-AV7a1),LH
LH2033 (LHIN-PV12a1),LH
LH2087 (LHON-AV2b1/b2),LH
LH2094 (LHIN-LO-PN1),LH
LH2170 (LHON-PV4d1),LH
LH2193 (LHON-PV6a3),LH
LH2201 (LHIN-GNG-PN1),LH
LH2220 (LHON-PV6c1),LH
LH2382 (LHON-AV6c1),LH
LH2385 (LHLN-PD3a2),LH
LH2392 (LHON-PV4c1),LH
LH2445 (LHIN-VNC-PN1),LH
LH2454 (LHIN-PPL2ab-PN1),LH
LH247 (LHLN-AV4a3/a4),LH
LH258 (LHLN-PV2a1/b1),LH
LH272 (LHIN-PLP-PN1),LH
LH279 (LHIN-AVLP-PN1),LH
LH290 (LHON-PV5a1),LH
LH374 (LHON-PV5g1/g2),LH
LH412 (LHON-AV4b4),LH
LH421 (LHON-AV4c1/c2),LH
LH528 (LHON-PV5k1),LH
LH542 (LHLN-PV4a1:5),LH
LH567 (LHON-PV2c1),LH
LH578 (LHON-PV3f1),LH
LH629 (LHON-AV2a1/a4),LH
LH721 (LHON-PV5c2),LH
LH788 (LHLN-AV4a1),LH
LH849 (LHON-PV5b3),LH
LH85 (LHIN-WED-PN6),LH
LH979 (LHON-PV4d3/d4),LH
LH989 (LHON-PD2a1/b1),LH
LPLC2,VPN
MB-APL,MBIN
MB-DPM,MBIN
MB002B (MBON-β′2mp),MBON
MB011B (MBON-β′2mp-bi),MBON
MB013B (SIFamide),MBEN
MB018B (MBON-α′2),MBON
MB022B (OA-VPM3),MBEN
MB025B (PAM-β′1apm),MBEN
MB027B (MBON-α′3apm),MBON
MB032B (PAM-β′2m),MBEN
MB043B (PAM-α1),MBEN
MB056B (PAM-β′2p),MBEN
MB057B (MBON-β′1),MBON
MB058B (PPL1-α′2α2),MBEN
MB063B (PAM-β1),MBEN
MB065B (PPL1-α3),MBEN
MB077B (MBON-γ2α′1),MBON
MB082C (MBON-α3),MBON
MB083C (MBON-γ3β′1),MBON
MB109B (PAM-β′2a),MBEN
MB112C (MBON-γ1pedc>α/β),MBON
MB113C (OA-VPM4),MBEN
MB131B (KC-γmain),MBIN
MB185B (KC-α/βs),MBIN
MB188B (PAM-γ4),MBEN
MB194B (PAM-β1ped),MBEN
MB210B (MBON-γ5β′2a),MBON
MB213B (PAM-β2),MBEN
MB242A (MBON-calyx),MBON
MB296B (PPL1-γ2α′1),MBEN
MB301B (PAM-β2β′2a),MBEN
MB304B (PPL1-α′3),MBEN
MB310C (MBON-α1),MBON
MB312B (PAM-γ4<γ1γ2),MBEN
MB315C (PAM-γ5),MBEN
MB320C (PPL1-γ1pedc),MBEN
MB371B (KC-α/βp),MBIN
MB380B (MB-C1),MBEN
MB399B (MBON-β2β′2a),MBON
MB418B (KC-α′/β′m),MBIN
MB434B (MBON-γ4>γ1γ2-β1>α),MBON
MB441B (PAM-γ3),MBEN
MB463B (KC-α′/β′ap),MBIN
MB465C (MB-CSD),MBEN
MB504B (All-PPL1),MBEN
MB542B (MBON-α2p3p),MBON
MB543B (MBON-α′1),MBON
MB549C (MBON-α2sc),MBON
MB594B (KC-α/βc),MBIN
MB607B (KC-γd),MBIN
MZ19,ALPN
NM-ddc,NM
NM-ple,NM
NM-tdc2,NM
NM-trh,NM
NP-AstA-3M,NP
NP-AstA-5,NP
NP-AstC-1M,NP
NP-Burs-4M,NP
NP-Capa-4F,NP
NP-Capa-5F,NP
NP-Crz-3M,NP
NP-Crz-4M,NP
NP-Dh31-2M,NP
NP-Dh31-5F,NP
NP-Dh44-2M,NP
NP-Dsk-3M,NP
NP-FMRFa-1M,NP
NP-Lk-1,NP
NP-Lk-2M,NP
NP-Mip-2M,NP
NP-Ms-1M,NP
NP-Ms-6Ma,NP
NP-NPF-2,NP
NP-sNPF-2,NP
NP-Tk-2Ma,NP
NP-Tk-3Ma,NP
NP-Tk-5Fa,NP
OR47b,ALIN
OR47b-mutant,ALIN
OR65a,ALIN
OR67d,ALIN
OR88a,ALIN
ORCO-GR63a-mutant,ALIN
ORCO-K,ALIN
ORCO-mutant,ALIN
pC1,other
R58E02 (All-PAMs),MBEN
SS00732 (DNp24),DN
SS01052 (DNp25),DN
SS01549 (DNp13),DN
SS01580 (DNp10),DN
SS01581 (DNp30),DN
SS01587 (DNp29),DN
SS01602 (DNg25),DN
SS02257 (DNp27),DN
SS02378 (DNg30),DN
SS02384 (DNa10),DN
SS02394 (DNp32),DN
SS02395 (DNc02),DN
SS02612 (DNp07),DN
SS04161 (DNc01),DN
Empty-split,Control
